game_pk,date,game_time_utc,venue_id,venue_name,home_team,away_team,home_team_id,away_team_id,home_runs,away_runs,total_runs,home_sp_id,home_sp_name,away_sp_id,away_sp_name
745906,2024-05-08,2024-05-08T23:40:00Z,3312,Target Field,Minnesota Twins,Seattle Mariners,142,136,6,3,9,663978,Chris Paddack,669923,George Kirby
746562,2024-05-08,2024-05-09T00:40:00Z,19,Coors Field,Colorado Rockies,San Francisco Giants,115,137,6,8,14,663567,Peter Lambert,663855,Jordan Hicks
746715,2024-05-09,2024-05-09T17:10:00Z,2602,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,113,109,4,5,9,668881,Hunter Greene,677944,Slade Cecconi
745910,2024-05-09,2024-05-09T17:10:00Z,3312,Target Field,Minnesota Twins,Seattle Mariners,142,136,11,1,12,641154,Pablo López,669302,Logan Gilbert
746563,2024-05-09,2024-05-09T19:10:00Z,19,Coors Field,Colorado Rockies,San Francisco Giants,115,137,9,1,10,615698,Cal Quantrill,676775,Keaton Winn
745748,2024-05-09,2024-05-09T21:05:00Z,3313,Yankee Stadium,New York Yankees,Houston Astros,147,117,3,4,7,573186,Marcus Stroman,669854,Ronel Blanco
746802,2024-05-09,2024-05-09T23:40:00Z,4,Guaranteed Rate Field,Chicago White Sox,Cleveland Guardians,145,114,3,2,5,607200,Erick Fedde,594902,Ben Lively
745995,2024-05-09,2024-05-09T23:40:00Z,32,American Family Field,Milwaukee Brewers,St. Louis Cardinals,158,138,7,1,8,668964,Tobias Myers,543243,Sonny Gray
746241,2024-05-09,2024-05-10T01:38:00Z,1,Angel Stadium,Los Angeles Angels,Kansas City Royals,108,118,4,10,14,672282,Reid Detmers,608379,Michael Wacha
746479,2024-05-10,2024-05-10T22:40:00Z,2394,Comerica Park,Detroit Tigers,Houston Astros,116,117,2,5,7,663554,Casey Mize,664285,Framber Valdez
745506,2024-05-10,2024-05-10T22:40:00Z,31,PNC Park,Pittsburgh Pirates,Chicago Cubs,134,112,2,7,9,683003,Jared Jones,665871,Javier Assad
