game_pk,date,venue_name,temp_f,wind_mph,wind_deg,wind_out,is_dome
745048,2024-09-01,Tropicana Field,,0.0,,False,True
746347,2024-09-01,Minute Maid Park,,0.0,,False,True
746511,2024-08-30,Coors Field,,,,False,False
746184,2024-08-30,Angel Stadium,,,,False,False
744970,2024-09-01,Globe Life Field,,0.0,,False,True
745299,2024-08-30,Oracle Park,,,,False,False
745699,2024-08-31,Yankee Stadium,,,,False,False
746424,2024-08-31,Comerica Park,,,,False,False
747157,2024-09-01,Chase Field,,0.0,,False,True
744808,2024-08-31,Nationals Park,,,,False,False
746590,2024-08-31,Progressive Field,,,,False,False
745859,2024-08-31,Target Field,,,,False,False
746751,2024-08-31,Guaranteed Rate Field,,,,False,False
746667,2024-08-31,Great American Ball Park,,,,False,False
747155,2024-09-02,Chase Field,,0.0,,False,True
746507,2024-08-31,Coors Field,,,,False,False
745046,2024-09-02,Tropicana Field,,0.0,,False,True
745532,2024-08-31,Citizens Bank Park,,,,False,False
745296,2024-08-31,Oracle Park,,,,False,False
746182,2024-08-31,Angel Stadium,,,,False,False
744972,2024-09-02,Globe Life Field,,0.0,,False,True
744806,2024-09-01,Nationals Park,,,,False,False
746020,2024-09-03,loanDepot park,,0.0,,False,True
745047,2024-09-03,Tropicana Field,,0.0,,False,True
744891,2024-09-03,Rogers Centre,,0.0,,False,True
746669,2024-09-01,Great American Ball Park,,,,False,False
745701,2024-09-01,Yankee Stadium,,,,False,False
746426,2024-09-01,Comerica Park,,,,False,False
746592,2024-09-01,Progressive Field,,,,False,False
745861,2024-09-01,Target Field,,,,False,False
744968,2024-09-03,Globe Life Field,,0.0,,False,True
746750,2024-09-01,Guaranteed Rate Field,,,,False,False
746505,2024-09-01,Coors Field,,,,False,False
745292,2024-09-01,Oracle Park,,,,False,False
744887,2024-09-04,Rogers Centre,,0.0,,False,True
746183,2024-09-01,Angel Stadium,,,,False,False
745536,2024-09-01,Citizens Bank Park,,,,False,False
746019,2024-09-04,loanDepot park,,0.0,,False,True
745045,2024-09-04,Tropicana Field,,0.0,,False,True
745947,2024-09-02,American Family Field,,,,False,False
746992,2024-09-02,Oriole Park at Camden Yards,,,,False,False
746668,2024-09-02,Great American Ball Park,,,,False,False
746265,2024-09-02,Kauffman Stadium,,,,False,False
745619,2024-09-02,Oakland Coliseum,,,,False,False
744964,2024-09-04,Globe Life Field,,0.0,,False,True
745779,2024-09-02,Citi Field,,,,False,False
745373,2024-09-02,Petco Park,,,,False,False
746833,2024-09-02,Wrigley Field,,,,False,False
746991,2024-09-03,Oriole Park at Camden Yards,,,,False,False
745778,2024-09-03,Citi Field,,,,False,False
745042,2024-09-05,Tropicana Field,,0.0,,False,True
747079,2024-09-03,Truist Park,,,,False,False
746264,2024-09-03,Kauffman Stadium,,,,False,False
745944,2024-09-03,American Family Field,,,,False,False
746021,2024-09-05,loanDepot park,,0.0,,False,True
746834,2024-09-03,Wrigley Field,,,,False,False
744966,2024-09-05,Globe Life Field,,0.0,,False,True
746185,2024-09-03,Angel Stadium,,,,False,False
745615,2024-09-03,Oakland Coliseum,,,,False,False
745293,2024-09-03,Oracle Park,,,,False,False
746990,2024-09-04,Oriole Park at Camden Yards,,,,False,False
745776,2024-09-04,Citi Field,,,,False,False
747075,2024-09-04,Truist Park,,,,False,False
746016,2024-09-06,loanDepot park,,0.0,,False,True
746262,2024-09-04,Kauffman Stadium,,,,False,False
744967,2024-09-06,Globe Life Field,,0.0,,False,True
746343,2024-09-06,Minute Maid Park,,0.0,,False,True
746835,2024-09-04,Wrigley Field,,,,False,False
746178,2024-09-04,Angel Stadium,,,,False,False
745370,2024-09-04,Petco Park,,,,False,False
745614,2024-09-04,Oakland Coliseum,,,,False,False
745938,2024-09-04,American Family Field,,,,False,False
745290,2024-09-04,Oracle Park,,,,False,False
746664,2024-09-05,Great American Ball Park,,,,False,False
745289,2024-09-05,Oracle Park,,,,False,False
745612,2024-09-05,Oakland Coliseum,,,,False,False
745369,2024-09-05,Petco Park,,,,False,False
746344,2024-09-07,Minute Maid Park,,0.0,,False,True
747073,2024-09-05,Truist Park,,,,False,False
746018,2024-09-07,loanDepot park,,0.0,,False,True
744963,2024-09-07,Globe Life Field,,0.0,,False,True
745451,2024-09-05,PNC Park,,,,False,False
746832,2024-09-06,Wrigley Field,,,,False,False
745941,2024-09-06,American Family Field,,,,False,False
746993,2024-09-06,Oriole Park at Camden Yards,,,,False,False
745777,2024-09-06,Citi Field,,,,False,False
747074,2024-09-06,Truist Park,,,,False,False
746912,2024-09-06,Fenway Park,,,,False,False
746257,2024-09-06,Kauffman Stadium,,,,False,False
745456,2024-09-07,PNC Park,,,,False,False
746104,2024-09-06,Dodger Stadium,,,,False,False
745371,2024-09-06,Petco Park,,,,False,False
745455,2024-09-07,PNC Park,,,,False,False
746017,2024-09-08,loanDepot park,,0.0,,False,True
745131,2024-09-06,Busch Stadium,,,,False,False
745611,2024-09-06,Oakland Coliseum,,,,False,False
746829,2024-09-07,Wrigley Field,,,,False,False
746986,2024-09-07,Oriole Park at Camden Yards,,,,False,False
744965,2024-09-08,Globe Life Field,,0.0,,False,True
745613,2024-09-07,Oakland Coliseum,,,,False,False
745775,2024-09-07,Citi Field,,,,False,False
747076,2024-09-07,Truist Park,,,,False,False
746345,2024-09-08,Minute Maid Park,,0.0,,False,True
745942,2024-09-07,American Family Field,,,,False,False
746259,2024-09-07,Kauffman Stadium,,,,False,False
745125,2024-09-07,Busch Stadium,,,,False,False
746911,2024-09-07,Fenway Park,,,,False,False
744888,2024-09-09,Rogers Centre,,0.0,,False,True
745372,2024-09-07,Petco Park,,,,False,False
746099,2024-09-07,Dodger Stadium,,,,False,False
746989,2024-09-08,Oriole Park at Camden Yards,,,,False,False
745453,2024-09-08,PNC Park,,,,False,False
747072,2024-09-08,Truist Park,,,,False,False
746910,2024-09-08,Fenway Park,,,,False,False
745774,2024-09-08,Citi Field,,,,False,False
745128,2024-09-08,Busch Stadium,,,,False,False
746258,2024-09-08,Kauffman Stadium,,,,False,False
744886,2024-09-10,Rogers Centre,,0.0,,False,True
745940,2024-09-08,American Family Field,,,,False,False
746827,2024-09-08,Wrigley Field,,,,False,False
745616,2024-09-08,Oakland Coliseum,,,,False,False
745368,2024-09-08,Petco Park,,,,False,False
746346,2024-09-10,Minute Maid Park,,0.0,,False,True
746098,2024-09-08,Dodger Stadium,,,,False,False
747152,2024-09-10,Chase Field,,0.0,,False,True
745534,2024-09-09,Citizens Bank Park,,,,False,False
747090,2024-09-09,Truist Park,,,,False,False
745454,2024-09-09,PNC Park,,,,False,False
746909,2024-09-09,Fenway Park,,,,False,False
744881,2024-09-11,Rogers Centre,,0.0,,False,True
747154,2024-09-11,Chase Field,,0.0,,False,True
745698,2024-09-09,Yankee Stadium,,,,False,False
746666,2024-09-04,Great American Ball Park,,,,False,False
745860,2024-09-09,Target Field,,,,False,False
746746,2024-09-09,Guaranteed Rate Field,,,,False,False
746101,2024-09-09,Dodger Stadium,,,,False,False
746428,2024-09-10,Comerica Park,,,,False,False
745535,2024-09-10,Citizens Bank Park,,,,False,False
746342,2024-09-11,Minute Maid Park,,0.0,,False,True
745446,2024-09-10,PNC Park,,,,False,False
744807,2024-09-10,Nationals Park,,,,False,False
745694,2024-09-10,Yankee Stadium,,,,False,False
745856,2024-09-10,Target Field,,,,False,False
746907,2024-09-10,Fenway Park,,,,False,False
746337,2024-09-12,Minute Maid Park,,0.0,,False,True
746747,2024-09-10,Guaranteed Rate Field,,,,False,False
745126,2024-09-10,Busch Stadium,,,,False,False
745291,2024-09-10,Oracle Park,,,,False,False
745210,2024-09-10,T-Mobile Park,,,,False,False
745450,2024-09-11,PNC Park,,,,False,False
746425,2024-09-11,Comerica Park,,,,False,False
746097,2024-09-10,Dodger Stadium,,,,False,False
744804,2024-09-11,Nationals Park,,,,False,False
746745,2024-09-11,Guaranteed Rate Field,,,,False,False
745525,2024-09-11,Citizens Bank Park,,,,False,False
744882,2024-09-13,Rogers Centre,,0.0,,False,True
745697,2024-09-11,Yankee Stadium,,,,False,False
746908,2024-09-11,Fenway Park,,,,False,False
745857,2024-09-11,Target Field,,,,False,False
745127,2024-09-11,Busch Stadium,,,,False,False
745214,2024-09-11,T-Mobile Park,,,,False,False
745285,2024-09-11,Oracle Park,,,,False,False
747153,2024-09-13,Chase Field,,0.0,,False,True
746427,2024-09-12,Comerica Park,,,,False,False
745129,2024-09-12,Busch Stadium,,,,False,False
746100,2024-09-11,Dodger Stadium,,,,False,False
744805,2024-09-12,Nationals Park,,,,False,False
744884,2024-09-14,Rogers Centre,,0.0,,False,True
746591,2024-09-12,Progressive Field,,,,False,False
745695,2024-09-12,Yankee Stadium,,,,False,False
745208,2024-09-12,T-Mobile Park,,,,False,False
745288,2024-09-12,Oracle Park,,,,False,False
746423,2024-09-13,Comerica Park,,,,False,False
745447,2024-09-13,PNC Park,,,,False,False
745529,2024-09-13,Citizens Bank Park,,,,False,False
746586,2024-09-13,Progressive Field,,,,False,False
747148,2024-09-14,Chase Field,,0.0,,False,True
745696,2024-09-13,Yankee Stadium,,,,False,False
744800,2024-09-13,Nationals Park,,,,False,False
747069,2024-09-13,Truist Park,,,,False,False
746744,2024-09-13,Guaranteed Rate Field,,,,False,False
745855,2024-09-13,Target Field,,,,False,False
746509,2024-09-13,Coors Field,,,,False,False
746181,2024-09-13,Angel Stadium,,,,False,False
745207,2024-09-13,T-Mobile Park,,,,False,False
745448,2024-09-14,PNC Park,,,,False,False
744883,2024-09-15,Rogers Centre,,0.0,,False,True
745286,2024-09-13,Oracle Park,,,,False,False
745689,2024-09-14,Yankee Stadium,,,,False,False
745528,2024-09-14,Citizens Bank Park,,,,False,False
744803,2024-09-14,Nationals Park,,,,False,False
746422,2024-09-14,Comerica Park,,,,False,False
745858,2024-09-14,Target Field,,,,False,False
747151,2024-09-15,Chase Field,,0.0,,False,True
746584,2024-09-14,Progressive Field,,,,False,False
746740,2024-09-14,Guaranteed Rate Field,,,,False,False
746508,2024-09-14,Coors Field,,,,False,False
747070,2024-09-14,Truist Park,,,,False,False
745284,2024-09-14,Oracle Park,,,,False,False
746177,2024-09-14,Angel Stadium,,,,False,False
745209,2024-09-14,T-Mobile Park,,,,False,False
746419,2024-09-15,Comerica Park,,,,False,False
745852,2024-09-15,Target Field,,,,False,False
745449,2024-09-15,PNC Park,,,,False,False
745530,2024-09-15,Citizens Bank Park,,,,False,False
744801,2024-09-15,Nationals Park,,,,False,False
745693,2024-09-15,Yankee Stadium,,,,False,False
746585,2024-09-15,Progressive Field,,,,False,False
746015,2024-09-17,loanDepot park,,0.0,,False,True
745044,2024-09-17,Tropicana Field,,0.0,,False,True
746741,2024-09-15,Guaranteed Rate Field,,,,False,False
746506,2024-09-15,Coors Field,,,,False,False
745287,2024-09-15,Oracle Park,,,,False,False
746180,2024-09-15,Angel Stadium,,,,False,False
745206,2024-09-15,T-Mobile Park,,,,False,False
744961,2024-09-17,Globe Life Field,,0.0,,False,True
745773,2024-09-16,Citi Field,,,,False,False
746588,2024-09-16,Progressive Field,,,,False,False
747071,2024-09-15,Truist Park,,,,False,False
747067,2024-09-16,Truist Park,,,,False,False
746260,2024-09-16,Kauffman Stadium,,,,False,False
746828,2024-09-16,Wrigley Field,,,,False,False
745939,2024-09-16,American Family Field,,,,False,False
745130,2024-09-16,Busch Stadium,,,,False,False
746502,2024-09-16,Coors Field,,,,False,False
746179,2024-09-16,Angel Stadium,,,,False,False
745367,2024-09-16,Petco Park,,,,False,False
746014,2024-09-18,loanDepot park,,0.0,,False,True
745040,2024-09-18,Tropicana Field,,0.0,,False,True
746987,2024-09-17,Oriole Park at Camden Yards,,,,False,False
746587,2024-09-17,Progressive Field,,,,False,False
746659,2024-09-17,Great American Ball Park,,,,False,False
746261,2024-09-17,Kauffman Stadium,,,,False,False
744959,2024-09-18,Globe Life Field,,0.0,,False,True
745772,2024-09-17,Citi Field,,,,False,False
746830,2024-09-17,Wrigley Field,,,,False,False
745935,2024-09-17,American Family Field,,,,False,False
745122,2024-09-17,Busch Stadium,,,,False,False
744962,2024-09-19,Globe Life Field,,0.0,,False,True
746503,2024-09-17,Coors Field,,,,False,False
746011,2024-09-19,loanDepot park,,0.0,,False,True
745041,2024-09-19,Tropicana Field,,0.0,,False,True
746176,2024-09-17,Angel Stadium,,,,False,False
745366,2024-09-17,Petco Park,,,,False,False
746500,2024-09-18,Coors Field,,,,False,False
746831,2024-09-18,Wrigley Field,,,,False,False
746341,2024-09-19,Minute Maid Park,,0.0,,False,True
745205,2024-09-17,T-Mobile Park,,,,False,False
746988,2024-09-18,Oriole Park at Camden Yards,,,,False,False
745043,2024-09-20,Tropicana Field,,0.0,,False,True
746172,2024-09-18,Angel Stadium,,,,False,False
745365,2024-09-18,Petco Park,,,,False,False
746582,2024-09-18,Progressive Field,,,,False,False
746013,2024-09-20,loanDepot park,,0.0,,False,True
744960,2024-09-20,Globe Life Field,,0.0,,False,True
746340,2024-09-20,Minute Maid Park,,0.0,,False,True
746662,2024-09-18,Great American Ball Park,,,,False,False
745771,2024-09-18,Citi Field,,,,False,False
746254,2024-09-18,Kauffman Stadium,,,,False,False
745933,2024-09-18,American Family Field,,,,False,False
745121,2024-09-18,Busch Stadium,,,,False,False
745199,2024-09-18,T-Mobile Park,,,,False,False
746985,2024-09-19,Oriole Park at Camden Yards,,,,False,False
746663,2024-09-19,Great American Ball Park,,,,False,False
746579,2024-09-19,Progressive Field,,,,False,False
745038,2024-09-21,Tropicana Field,,0.0,,False,True
745204,2024-09-19,T-Mobile Park,,,,False,False
746012,2024-09-21,loanDepot park,,0.0,,False,True
745120,2024-09-19,Busch Stadium,,,,False,False
744958,2024-09-21,Globe Life Field,,0.0,,False,True
746338,2024-09-21,Minute Maid Park,,0.0,,False,True
746823,2024-09-19,Wrigley Field,,,,False,False
745769,2024-09-19,Citi Field,,,,False,False
745937,2024-09-19,American Family Field,,,,False,False
746905,2024-09-20,Fenway Park,,,,False,False
746984,2024-09-20,Oriole Park at Camden Yards,,,,False,False
746824,2024-09-20,Wrigley Field,,,,False,False
746661,2024-09-20,Great American Ball Park,,,,False,False
745770,2024-09-20,Citi Field,,,,False,False
746256,2024-09-20,Kauffman Stadium,,,,False,False
745036,2024-09-22,Tropicana Field,,0.0,,False,True
746010,2024-09-22,loanDepot park,,0.0,,False,True
746339,2024-09-22,Minute Maid Park,,0.0,,False,True
745934,2024-09-20,American Family Field,,,,False,False
745123,2024-09-20,Busch Stadium,,,,False,False
745364,2024-09-20,Petco Park,,,,False,False
745606,2024-09-20,Oakland Coliseum,,,,False,False
744955,2024-09-22,Globe Life Field,,0.0,,False,True
746660,2024-09-21,Great American Ball Park,,,,False,False
746094,2024-09-20,Dodger Stadium,,,,False,False
746826,2024-09-21,Wrigley Field,,,,False,False
746983,2024-09-21,Oriole Park at Camden Yards,,,,False,False
745768,2024-09-21,Citi Field,,,,False,False
744885,2024-09-23,Rogers Centre,,0.0,,False,True
746334,2024-09-23,Minute Maid Park,,0.0,,False,True
747150,2024-09-23,Chase Field,,0.0,,False,True
746255,2024-09-21,Kauffman Stadium,,,,False,False
745936,2024-09-21,American Family Field,,,,False,False
745124,2024-09-21,Busch Stadium,,,,False,False
745610,2024-09-21,Oakland Coliseum,,,,False,False
745360,2024-09-21,Petco Park,,,,False,False
746906,2024-09-22,Fenway Park,,,,False,False
744876,2024-09-24,Rogers Centre,,0.0,,False,True
746903,2024-09-22,Fenway Park,,,,False,False
746096,2024-09-21,Dodger Stadium,,,,False,False
746657,2024-09-22,Great American Ball Park,,,,False,False
746336,2024-09-24,Minute Maid Park,,0.0,,False,True
746982,2024-09-22,Oriole Park at Camden Yards,,,,False,False
747149,2024-09-24,Chase Field,,0.0,,False,True
746253,2024-09-22,Kauffman Stadium,,,,False,False
745929,2024-09-22,American Family Field,,,,False,False
746331,2024-09-25,Minute Maid Park,,0.0,,False,True
745118,2024-09-22,Busch Stadium,,,,False,False
746825,2024-09-22,Wrigley Field,,,,False,False
745608,2024-09-22,Oakland Coliseum,,,,False,False
