game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
634386,2021-04-23,2021,Boston Red Sox,Seattle Mariners,9.98139999925614,9.0,9.0,11,0.9813999992561406,OVER,True,False,1.0,0.0,
634426,2021-04-23,2021,Chicago Cubs,Milwaukee Brewers,9.976233945484168,10.0,9.0,17,0.976233945484168,OVER,True,False,1.0,-1.0,0.5-1.0
634503,2021-04-24,2021,San Francisco Giants,Miami Marlins,8.175046430225379,7.0,7.0,7,1.175046430225379,OVER,False,True,0.0,0.0,
634384,2021-04-24,2021,Chicago White Sox,Texas Rangers,8.595518575305945,8.0,7.5,3,1.0955185753059453,OVER,False,False,-1.1,-0.5,0-0.5
634373,2021-04-24,2021,Boston Red Sox,Seattle Mariners,7.94555138170243,9.0,9.0,10,-1.0544486182975703,UNDER,False,False,-1.1,-0.0,
634366,2021-04-24,2021,Houston Astros,Los Angeles Angels,9.544475064868934,9.0,8.5,18,1.0444750648689336,OVER,True,False,1.0,-0.5,0-0.5
634456,2021-04-25,2021,St. Louis Cardinals,Cincinnati Reds,7.933333383197791,8.0,7.0,7,0.933333383197791,OVER,False,True,0.0,-1.0,0.5-1.0
634403,2021-04-25,2021,Houston Astros,Los Angeles Angels,9.009461866016396,8.0,8.0,6,1.0094618660163963,OVER,False,False,-1.1,0.0,
634355,2021-04-25,2021,Boston Red Sox,Seattle Mariners,9.604433522815713,9.0,8.5,8,1.1044335228157127,OVER,False,False,-1.1,-0.5,0-0.5
634376,2021-04-25,2021,Tampa Bay Rays,Toronto Blue Jays,8.651706205005652,7.5,7.5,1,1.1517062050056524,OVER,False,False,-1.1,0.0,
634363,2021-04-26,2021,Los Angeles Dodgers,Cincinnati Reds,8.447139249439246,7.0,7.5,8,0.9471392494392461,OVER,True,False,1.0,0.5,0-0.5
634374,2021-04-26,2021,San Francisco Giants,Colorado Rockies,8.711007581348426,7.5,7.5,12,1.2110075813484258,OVER,True,False,1.0,0.0,
634345,2021-04-26,2021,St. Louis Cardinals,Philadelphia Phillies,7.067705140705115,8.0,8.0,3,-0.9322948592948848,UNDER,True,False,1.0,-0.0,
634461,2021-04-26,2021,Milwaukee Brewers,Miami Marlins,7.820156560535437,6.5,6.5,8,1.3201565605354366,OVER,True,False,1.0,0.0,
634402,2021-04-26,2021,Atlanta Braves,Chicago Cubs,9.628732190723426,8.5,8.5,15,1.1287321907234258,OVER,True,False,1.0,0.0,
634451,2021-04-26,2021,Detroit Tigers,Kansas City Royals,7.412669644947059,7.5,8.5,5,-1.0873303550529414,UNDER,True,False,1.0,-1.0,0.5-1.0
634354,2021-04-27,2021,San Francisco Giants,Colorado Rockies,8.505813108081824,8.0,7.5,12,1.0058131080818242,OVER,True,False,1.0,-0.5,0-0.5
634333,2021-04-27,2021,Houston Astros,Seattle Mariners,9.754345403308877,8.5,8.5,2,1.2543454033088768,OVER,False,False,-1.1,0.0,
634359,2021-04-27,2021,Texas Rangers,Los Angeles Angels,10.077066884632115,9.0,9.0,7,1.0770668846321154,OVER,False,False,-1.1,0.0,
634320,2021-04-27,2021,Milwaukee Brewers,Miami Marlins,9.302443013782508,8.0,8.0,9,1.3024430137825078,OVER,True,False,1.0,0.0,
634309,2021-04-28,2021,San Francisco Giants,Colorado Rockies,8.416856275196082,7.0,7.0,10,1.416856275196082,OVER,True,False,1.0,0.0,
634322,2021-04-28,2021,Arizona Diamondbacks,San Diego Padres,9.98257301866532,9.0,9.0,15,0.9825730186653203,OVER,True,False,1.0,0.0,
634310,2021-04-28,2021,New York Mets,Boston Red Sox,8.23680828630448,7.0,7.0,1,1.2368082863044805,OVER,False,False,-1.1,0.0,
