game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
632230,2021-04-12,2021,St. Louis Cardinals,Washington Nationals,9.47354527614779,8.5,8.5,7,0.9735452761477905,OVER,False,False,-1.1,0.0,
632198,2021-04-12,2021,Pittsburgh Pirates,San Diego Padres,8.842982382615928,8.5,7.5,8,1.3429823826159275,OVER,True,False,1.0,-1.0,0.5-1.0
632210,2021-04-13,2021,Kansas City Royals,Los Angeles Angels,9.289472392981107,9.0,8.5,5,0.7894723929811072,OVER,False,False,-1.1,-0.5,0-0.5
632226,2021-04-13,2021,New York Mets,Philadelphia Phillies,7.48405659667876,7.5,6.5,4,0.9840565966787604,OVER,False,False,-1.1,-1.0,0.5-1.0
632190,2021-04-13,2021,Minnesota Twins,Boston Red Sox,9.947913109578645,8.5,9.0,6,0.9479131095786446,OVER,False,False,-1.1,0.5,0-0.5
634621,2021-04-15,2021,Pittsburgh Pirates,San Diego Padres,8.534356776247273,8.0,7.5,11,1.0343567762472734,OVER,True,False,1.0,-0.5,0-0.5
634469,2021-04-16,2021,Washington Nationals,Arizona Diamondbacks,9.358188197369818,8.0,8.5,1,0.8581881973698184,OVER,False,False,-1.1,0.5,0-0.5
634470,2021-04-17,2021,Philadelphia Phillies,St. Louis Cardinals,9.322233545017468,8.5,8.5,13,0.8222335450174683,OVER,True,False,1.0,0.0,
634455,2021-04-18,2021,Milwaukee Brewers,Pittsburgh Pirates,8.410490968525005,8.5,7.5,11,0.9104909685250053,OVER,True,False,1.0,-1.0,0.5-1.0
634408,2021-04-20,2021,Cincinnati Reds,Arizona Diamondbacks,8.958000011656104,8.0,7.5,9,1.4580000116561038,OVER,True,False,1.0,-0.5,0-0.5
634497,2021-04-21,2021,Miami Marlins,Baltimore Orioles,8.451971627047813,8.0,7.5,3,0.9519716270478131,OVER,False,False,-1.1,-0.5,0-0.5
634383,2021-04-23,2021,Houston Astros,Los Angeles Angels,8.997166387430914,8.5,8.0,9,0.997166387430914,OVER,True,False,1.0,-0.5,0-0.5
634415,2021-04-23,2021,Atlanta Braves,Arizona Diamondbacks,9.740018671476896,8.5,8.5,9,1.2400186714768964,OVER,True,False,1.0,0.0,
634386,2021-04-23,2021,Boston Red Sox,Seattle Mariners,9.991958570962613,9.0,9.0,11,0.9919585709626126,OVER,True,False,1.0,0.0,
634366,2021-04-24,2021,Houston Astros,Los Angeles Angels,9.352500978978332,9.0,8.5,18,0.8525009789783322,OVER,True,False,1.0,-0.5,0-0.5
634403,2021-04-25,2021,Houston Astros,Los Angeles Angels,9.328537117343686,8.0,8.0,6,1.3285371173436857,OVER,False,False,-1.1,0.0,
634376,2021-04-25,2021,Tampa Bay Rays,Toronto Blue Jays,8.65517761699523,7.5,7.5,1,1.1551776169952301,OVER,False,False,-1.1,0.0,
634402,2021-04-26,2021,Atlanta Braves,Chicago Cubs,9.276971728808782,8.5,8.5,15,0.7769717288087818,OVER,True,False,1.0,0.0,
634333,2021-04-27,2021,Houston Astros,Seattle Mariners,9.64312236972757,8.5,8.5,2,1.1431223697275694,OVER,False,False,-1.1,0.0,
634359,2021-04-27,2021,Texas Rangers,Los Angeles Angels,10.149698926180806,9.0,9.0,7,1.1496989261808057,OVER,False,False,-1.1,0.0,
634320,2021-04-27,2021,Milwaukee Brewers,Miami Marlins,9.026741826311213,8.0,8.0,9,1.0267418263112127,OVER,True,False,1.0,0.0,
634346,2021-04-29,2021,Milwaukee Brewers,Los Angeles Dodgers,8.272959156905937,7.5,7.5,3,0.7729591569059373,OVER,False,False,-1.1,0.0,
634328,2021-04-30,2021,Arizona Diamondbacks,Colorado Rockies,9.32966604757086,8.5,8.5,9,0.8296660475708606,OVER,True,False,1.0,0.0,
634286,2021-05-01,2021,Arizona Diamondbacks,Colorado Rockies,9.633575221872436,8.0,8.5,20,1.1335752218724355,OVER,True,False,1.0,0.5,0-0.5
634340,2021-05-02,2021,Seattle Mariners,Los Angeles Angels,9.87722993116131,8.0,8.5,2,1.3772299311613097,OVER,False,False,-1.1,0.5,0-0.5
634311,2021-05-02,2021,New York Yankees,Detroit Tigers,8.933280801950852,9.0,8.0,2,0.9332808019508523,OVER,False,False,-1.1,-1.0,0.5-1.0
634244,2021-05-03,2021,Philadelphia Phillies,Milwaukee Brewers,9.826355001550736,8.5,9.0,7,0.8263550015507359,OVER,False,False,-1.1,0.5,0-0.5
